id;number_of_profile_views;number_of_conversations;number_of_request_sent;free_users;created_at;updated_at
1;51411;63744;28920;72082;2022-08-28T23:17:24;2022-08-28T19:25:08
2;95366;65614;3380;88293;2022-08-29T12:53:46;2022-08-29T11:03:39
3;92547;96478;81413;22785;2022-08-29T00:15:42;2022-08-28T19:58:51
4;70748;85836;14191;26673;2022-08-29T00:03:20;2022-08-29T11:55:11
5;386;71302;8632;96514;2022-08-29T08:29:29;2022-08-29T13:58:31
6;53058;63460;32516;24168;2022-08-28T17:44:30;2022-08-29T11:25:55
7;31727;92202;98328;61859;2022-08-29T13:02:06;2022-08-29T03:19:43
8;77239;3752;43528;74331;2022-08-29T04:35:48;2022-08-29T14:23:14
9;44449;2450;17043;81188;2022-08-29T10:56:26;2022-08-28T23:53:53
10;23619;97826;34614;8117;2022-08-28T23:51:24;2022-08-29T08:42:52
