id;number_of_profile_views;number_of_conversations;number_of_request_sent;created_at;updated_at
1;56103;50679;88671;2023-03-25T06:32:10;2023-03-25T06:37:17
2;29033;74527;78905;2023-03-25T08:22:03;2023-03-25T08:25:10
3;7218;61839;92981;2023-03-25T11:41:54;2023-03-25T03:51:24
4;54062;11579;95868;2023-03-25T05:10:50;2023-03-24T15:58:52
5;42578;52451;51553;2023-03-24T20:39:35;2023-03-25T13:25:10
6;21328;43548;6380;2023-03-25T01:51:07;2023-03-25T07:13:07
7;37652;43176;99530;2023-03-25T13:36:15;2023-03-24T21:50:12
8;78633;35766;40969;2023-03-24T18:43:13;2023-03-24T20:38:09
9;60686;40616;63926;2023-03-25T06:45:03;2023-03-25T06:14:05
10;28825;37549;99609;2023-03-25T00:44:15;2023-03-25T06:50:26
