id;payment_frequency;created_by;created_at;updated_at
1;Global HDD;backing;2022-08-15T11:35:35;2022-08-14T19:48:44
2;connecting SMS payment;1080p service-desk;2022-08-15T03:38:49;2022-08-15T13:26:38
3;Chicken back-end override;PNG Peso turquoise;2022-08-15T12:41:45;2022-08-15T02:42:26
4;TCP Steel;Planner optical program;2022-08-15T12:08:51;2022-08-15T06:53:56
5;heuristic Supervisor RAM;clear-thinking recontextualize;2022-08-15T04:08:24;2022-08-14T20:28:30
6;Massachusetts;B2C Sausages;2022-08-15T13:14:07;2022-08-14T18:52:06
7;Afghanistan;User value-added;2022-08-14T21:31:04;2022-08-14T22:36:19
8;Viaduct Programmable;Gloves focus Cross-group;2022-08-15T06:46:47;2022-08-14T20:47:45
9;web-readiness e-business;Curve Open-source Sleek;2022-08-15T00:04:17;2022-08-15T09:24:48
10;Hungary Loan recontextualize;frictionless;2022-08-15T13:31:34;2022-08-15T09:48:48
