id;type_name;created_by;created_at;updated_at
1;Salad Wooden;Card;2022-08-14T18:01:05;2022-08-15T07:47:09
2;Path calculate;Checking;2022-08-14T20:59:30;2022-08-15T10:42:41
3;Borders Incredible International;connecting virtual ivory;2022-08-15T12:25:34;2022-08-15T13:34:42
4;Music 1080p deploy;eyeballs Metal;2022-08-15T04:25:01;2022-08-15T00:09:58
5;reboot Borders Fantastic;Operations Strategist;2022-08-15T02:28:36;2022-08-14T21:57:40
6;strategy;tertiary Universal up;2022-08-14T23:06:42;2022-08-15T11:30:40
7;Specialist Ergonomic Lead;Chair transmitting CSS;2022-08-15T08:43:20;2022-08-14T22:43:47
8;IB Account revolutionary;Guyana Beauty;2022-08-14T21:00:26;2022-08-15T08:16:47
9;navigating Business-focused cross-platform;Buckinghamshire;2022-08-15T02:24:31;2022-08-15T11:20:39
10;maroon Fort;parse;2022-08-14T21:37:59;2022-08-15T07:24:55
