id;tariff_code;price;duration;created_at;updated_at
1;optical backing Dynamic;51739;56815;2022-08-29T12:45:01;2022-08-29T09:42:12
2;Usability West Ball;28445;92968;2022-08-28T17:06:39;2022-08-29T08:55:40
3;Account withdrawal grey;99156;63391;2022-08-29T14:11:19;2022-08-29T10:18:03
4;generating;21838;94053;2022-08-28T18:40:48;2022-08-29T13:39:58
5;back-end California;53533;11636;2022-08-29T02:42:11;2022-08-29T02:54:53
6;Computers engine;62283;18288;2022-08-28T23:38:03;2022-08-29T03:11:34
7;Function-based;27549;94399;2022-08-28T23:43:43;2022-08-29T01:25:46
8;Borders SMTP;67276;94500;2022-08-28T22:21:21;2022-08-28T22:03:43
9;Berkshire Metal;66605;9665;2022-08-29T14:00:53;2022-08-28T16:09:34
10;navigating cross-platform;22373;3425;2022-08-28T22:50:07;2022-08-28T20:07:40
